planet_name,star_name,discovery_method,discovery_year,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,distance_lightyears,num_stars,num_planets
HR 858 b,HR 858,Transit,2019.0,3.585287,2.004,3.55,1552.0,31.964,2,3
HR 858 c,HR 858,Transit,2019.0,5.973865,1.979,3.8,1309.0,31.964,2,3
HR 858 d,HR 858,Transit,2019.0,11.230511,2.001,7.1,1061.0,31.964,2,3
HR 8799 b,HR 8799,Imaging,2008.0,170000.0,13.0,2000.0,1200.0,41.2441,1,4
HR 8799 c,HR 8799,Imaging,2008.0,69000.0,13.0,3000.0,1200.0,41.2441,1,4
HR 8799 d,HR 8799,Imaging,2008.0,37000.0,13.0,3000.0,1300.0,41.2441,1,4
HR 8799 e,HR 8799,Imaging,2010.0,20815.6,13.11453,3178.3,1150.0,41.2441,1,4
HS Psc b,HS Psc,Radial Velocity,2024.0,3.986,13.6,464.02947422,783.44,37.6604,1,1
HU Aqr AB b,HU Aqr,Eclipse Timing Variations,2011.0,2390.0,12.8,1875.197,757.0,192.19807871,2,2
HU Aqr AB c,HU Aqr,Eclipse Timing Variations,2011.0,4368.0,12.9,1430.235,757.0,192.19807871,2,2
IC 4651 9122 b,IC 4651 9122,Radial Velocity,2018.0,734.0,12.7,2002.329,513.04,859.324,1,1
IRAS 04125+2902 b,IRAS 04125+2902,Transit,2024.0,8.834978,10.73820351,80.8,854.0,159.244,2,1
ITG 15 b,ITG 15 A,Imaging,2024.0,10.671380845,12.1,6674.396547,2601.0,136.37,2,1
K2-10 b,K2-10,Transit,2015.0,19.30553,3.773,25.2,649.0,272.36,1,1
K2-100 b,K2-100,Transit,2016.0,1.6739035,3.88,21.8,1841.0,188.959,1,1
K2-101 b,K2-101,Transit,2016.0,14.6762429,2.0,4.66,618.0,188.33,1,1
K2-102 b,K2-102,Transit,2016.0,9.915615,1.3,2.24,757.0,188.175,1,1
K2-104 b,K2-104,Transit,2016.0,1.9741954,1.79,3.86,798.0,189.289,1,1
K2-105 b,K2-105,Transit,2017.0,8.26726,3.4,15.4,805.0,197.989,1,1
K2-107 b,K2-107,Transit,2017.0,3.313959,15.98,266.9772,1649.0,685.2,1,1
K2-108 b,K2-108,Transit,2017.0,4.733999,5.33,59.4,1360.0,477.295,1,1
K2-11 b,K2-11,Transit,2015.0,39.93767,7.55,44.4,734.0,329.309,1,1
K2-110 b,K2-110,Transit,2017.0,13.86375,2.592,15.9,638.0,116.474,1,1
K2-111 b,K2-111,Transit,2017.0,5.3518963,1.837,5.35,1293.0,200.394,1,2
K2-111 c,K2-111,Radial Velocity,2020.0,15.6748,3.34,11.1,923.0,200.394,1,2
K2-113 b,K2-113,Transit,2017.0,5.817685,12.14,410.0007,1098.0,635.722,1,1
K2-114 b,K2-114,Transit,2017.0,11.390931,10.59248676,638.83509807,701.4,475.758,1,1
K2-115 b,K2-115,Transit,2017.0,20.2729914,11.80305668,321.00669107,696.0,413.591,1,1
K2-116 b,K2-116,Transit,2017.0,4.655411,0.69,0.257,783.03,49.3855,1,1
K2-117 b,K2-117,Transit,2017.0,1.2916,2.03,4.78,868.0,101.632,1,2
K2-117 c,K2-117,Transit,2017.0,5.444017,2.06,4.9,537.0,101.632,1,2
K2-118 b,K2-118,Transit,2017.0,50.92092,2.54,6.99,394.64,321.722,1,1
